name;roaster;roast;loc_country;origin;100g_USD;rating;review_date;review;
Panama Hacienda La Esmeralda Porton 5N49 Gesha Natural;PT's Coffee Roasting Co.;Medium-Light;United States;Panama;28,66;95;June 2022;Juicy, balanced, bright. Bing cherry, wisteria, cocoa nib, blood orange, marjoram in aroma and cup. Sweetly tart with citrusy acidity;
Taiwan Alluring Scent Estate Natural;Quartet Kaffe;Medium-Light;Taiwan;Taiwan;28,8;93;January 2021;Delicately sweet-tart. Tamarind, almond, lemon verbena, baking chocolate, freesia in aroma and cup. Sweet in structure with bright acidity;
Pointu Laurina;Hula Daddy Kona Coffee;Medium;Hawai'i;Hawai'I;29,08;95;April 2022;Deeply fruit-toned, balanced and deep. Dark chocolate, goji berry, gardenia, hazelnut butter, fresh-cut cedar in aroma and cup. Richly sweet structure with gentle, balanced acidity;
Panama Hacienda La Esmeralda Gesha;modcup coffee;Light;United States;Panama;29,39;94;December 2021;High-toned, balanced, richly sweet-tart. Dried apricot, star jasmine, cocoa nib, caramel, star anise in aroma and cup. Sweetly tart structure with juicy, engaging;
Sumatra Dark;Starbucks Coffee;Dark;United States;Indonesia;3,08;87;February 2020;Roast-dominant, smoky-sweet. Dark chocolate, burned mesquite, lily, prune, fresh earth in aroma and cup. Bittersweet structure with barely perceptible acidity;
Ethiopia Guji Hambela Wate 74110/74112/74158 Mini Natural;Taster's Coffee;;Taiwan;Ethiopia;3,17;93;September 2021;Evaluated as espresso produced as a “ristretto” 25ml (.85-ounce) shot using a Nespresso capsule espresso brewer with whole milk heated using a conventional steam wand. Crisply chocolaty, sweet-toned. Baking chocolate, orange zest, almond, rhododendron, fresh-cut oak in aroma and small cup. Satiny-smooth mouthfeel;
Ethiopia Guji Shakisso Mormora Estate Natural;Taster's Coffee;;Taiwan;Ethiopia;3,17;93;October 2021;Evaluated as espresso produced as a “ristretto” 25ml (.85-ounce) shot using a Nespresso capsule espresso brewer with whole milk heated using a conventional steam wand. Delicately sweet, citrus-toned. Tangerine zest, cocoa nib, jasmine, almond, cherry blossom in aroma and small cup. Crisp, silky mouthfeel;
Fazenda Recreio Bourbon Pulped Natural;Auto Coffee;Medium-Light;Taiwan;Brazil;3,19;93;may-18; Round, balanced, with a quiet but deeply layered complexity. Blackberry, cocoa, pear, lavender, roasted macadamia in aroma and cup. Sweetly and roundly bright in structure;
Ethiopia Washed Guji Dimtu Espresso;Kakalove Cafe;Medium-Dark;Taiwan;Ethiopia;3,19;93;July 2019;Evaluated as espresso. Richly roast-toned;
Sumatra Gayo G1 Triple-Picked Lot 005;Kakalove Cafe;Medium-Light;Taiwan;Indonesia;3,19;94;June 2020;Sweetly earth-toned, deeply floral. Petrichor, honeysuckle, Dark chocolate, petrichor, honeysuckle, nectarine, fine pipe tobacco in aroma and cup. Sweet-savory structure with vibrant, juicy acidity;
Guatemala Finca El General SummerEnd Espresso;Kakalove Cafe;Medium-Light;Taiwan;Guatemala;3,19;94;October 2021;Evaluated as espresso. Deeply sweet, harmoniously balanced. Pomegranate syrup, almond butter, cedar, dark chocolate, plumeria in aroma and small cup. Full, satiny-smooth mouthfeel;
Cate Natural G5;Small Eyes Cafe;Medium-Light;Taiwan;Ethiopia;3,2;95;November 2019;Evaluated as espresso. Bright, sweetly tart, cleanly fruit-forward. Raspberry, chocolate fudge, sandalwood, narcissus, almond butter in aroma and small cup. Full, syrupy mouthfeel, resonant, flavor-saturated finish. In cappuccino scaled milk, this attractive natural-processed coffee reads like trifle dessert: raspberry with dark chocolate. ;
Elida Natural ASD (Panama);Geisha Coffee Roaster;Medium-Light;United States;Panama;3,25;93;may-21;Rich, deep, resoundingly lactic and pungent. Distinct dark chocolate, blue cheese, lily-like flowers, vanilla, pipe tobacco. Savory sweet structure;
Ethiopia Reko;Java Blend Coffee Roasters;Medium-Light;Canada;Ethiopia;3,31;92;March 2018;Deeply and richly sweet. Strawberry, peach, sandalwood, almond butter, chrysanthemum in aroma and cup. Sweetly tart structure;
Sidamo Suke Quto;Signature Reserve;Medium;United States;Ethiopia;3,32;90;February 2020;Cocoa- and citrus-toned. Orange zest, cocoa powder, magnolia, almond, oak in aroma and cup. Sweet-tart structure with brisk acidity;
Panama La Mula Geisha Washed;GK Coffee;Light;Taiwan;Panama;3,39;95;July 2022;Elegantly bright, richly sweet. Apricot, bergamot, cocoa nib, sandalwood, star jasmine in aroma and cup. Balanced structure with high-toned acidity;
Guatemala Washed Finca El General Lot SummerEnd Espresso;Kakalove Cafe;Medium-Light;Taiwan;Guatemala;3,4;94;September 2022;Evaluated as espresso. Very sweet, floral, richly nutty. Black cherry, almond butter, dark chocolate, cedar, tangerine zest in aroma and small cup. Full, syrupy-smooth mouthfeel;
Organic Dulce de Guatemala;Paradise Roasters;Medium-Light;United States;Guatemala;3,51;93;August 2018;Spice-toned, richly sweet. Honeysuckle, pistachio, baking spices, apricot, molasses in aroma and cup. Sweet-savory in structure with balanced, lively acidity;
Kenya AA Top Lot;Mystic Monk Coffee;Medium;United States;Kenya;3,51;93;October 2018;Sweetly roast-toned, richly chocolaty. Dark chocolate, dried apricot, fine musk, fresh-cut fir, azalea in aroma and cup. Sweet-toned structure with gentle, round acidity;
Colombia Caldas Finca Villa Clara Supremo;CofFeeling;Medium-Light;Taiwan;Colombia;3,52;92;may-21;Evaluated as espresso. Richly sweet, crisply chocolaty. Dark chocolate, date, magnolia, oak, a hint of marjoram in aroma and small cup. Satiny mouthfeel;
SGG Ethiopia Sidamo G2;Mr. Chao Coffee;Medium-Light;Taiwan;Ethiopia;3,52;91;October 2021;Sweetly herbaceous, cocoa-driven. Cocoa nib, lemon-thyme, pink grapefruit zest, caramel, cedar in aroma and cup. Sweetly savory with brisk acidity;
Colombia Narino Excelsio;Jackrabbit Java;Medium-Light;United States;Colombia;3,53;92;October 2018;Balanced, rich-toned, crisply sweet. Baker’s chocolate, plum, hazelnut, maple syrup, wisteria in aroma and cup. Deeply sweet structure with lively acidity;
Panama Finca San Sebastian;Jackrabbit Java;Medium-Light;United States;Panama;3,53;94;August 2019;Rich-toned, chocolaty, exquisitely balanced. Chocolate fudge, pink grapefruit zest, cherry, sandalwood, narcissus in aroma and cup. Sweetly tart structure with bright, juicy acidity;
Kenya Nyeri AA Ichuga;Jackrabbit Java;Medium;United States;Kenya;3,53;92;February 2020;Rich-toned, chocolaty. Dark chocolate, red currant, freesia, clove, molasses in aroma and cup. Sweet structure with gentle, round acidity;
Ethiopia Yirgacheffe Kochere;Cup to Cup Coffee Roasters;Medium-Light;United States;Ethiopia;3,53;93;August 2022;Crisp, spicy, orange-toned. Spice box, black currant, orange, cocoa, a hint of sweet flowers in aroma and cup. Sweet-tart structure with a briskly savory edge;
Guatemala Washed Finca El General Pache M-Plus Espresso;Kakalove Cafe;Medium;Taiwan;Guatemala;3,54;93;October 2019;Evaluated as espresso. Floral-toned, richly sweet. Honeysuckle, cashew, oak, fig newton, pink peppercorn, dark chocolate in aroma and small cup. Crisp, satiny mouthfeel;
Guatemala Washed Finca El General Pache;Kakalove Cafe;Medium-Light;Taiwan;Guatemala;3,54;92;October 2019;Sweet-toned, richly nutty. Cashew butter, date, baker’s chocolate, magnolia, oak in aroma and cup. Sweet structure with brisk acidity;
Nicaragua La Huella Catuaí;David's Nose;Light;Taiwan;Nicaragua;3,54;93;September 2020;Crisp, delicately sweet. Nectarine, jasmine, cocoa nib, almond, oak in aroma and cup. Sweet-toned structure with gentle acidity;
Ethiopia Guji Uraga Washed;Coffee Please;Medium-Light;Taiwan;Ethiopia;3,55;95;March 2021;High-toned, delicate, richly sweet. Apricot, cocoa nib, plum blossom, cedar, honey in aroma and cup. Sweet-toned structure with bright, juicy acidity;
Ethiopia Yirgacheffe G1;Santos Coffee;Light;Hawai'i;Ethiopia;3,56;94;March 2019;Multi-layered and expressive. Star jasmine, cherry, maple syrup, cocoa nib, almond in aroma and cup. Sweetly tart structure with lively acidity;
Guatemala Huehuetenango;Grounds for Change;Medium;United States;Guatemala;3,6;92;November 2018;Roasty-sweet, richly chocolaty. Dark chocolate, gently scorched cedar, gardenia, grapefruit zest, roasted almond in aroma and cup. Briskly bittersweet in structure;
Brazil Peixoto Peaberry;True Coffee Roasters;Medium-Light;United States;Brazil;3,63;92;September 2021;Richly sweet, deeply nut-toned. Almond butter, cane sugar, orange zest, date, a hint of magnolia in aroma and cup. Sweet structure with gentle, round acidity;
Colombia Nariño;Dragonfly Coffee Roasters;Medium-Light;United States;Colombia;3,67;91;April 2021;Crisply sweet, chocolaty. Baking chocolate, raisin, cedar, almond, lily in aroma and cup. Sweet-toned structure with brisk acidity;
Ethiopia Hambela G1;Mr. Chao Coffee;Medium-Light;Taiwan;Ethiopia;3,67;91;August 2021;Deep-toned, chocolaty. Baking chocolate, date, hazelnut, fresh-cut cedar, brown sugar in aroma and cup. Sweet-toned structure with gentle, round acidity;
Natural Sidamo Twakok G1;Kakalove Cafe;Light;Taiwan;Ethiopia;3,68;94;August 2018;Evaluated as espresso. Richly floral, spice-toned. Lavender, baker’s chocolate, dried strawberry, sandalwood, lemon zest in aroma and small cup. Full, syrupy mouthfeel;
Peru Natural Jose Herrera Lot 21;Kakalove Cafe;Medium-Light;Taiwan;Peru;3,68;93;June 2019;Richly fruit-toned, chocolaty. Dried raspberry, dark chocolate, sandalwood, almond, freesia-like flowers in aroma and cup. Sweetly tart in structure with round, gentle acidity;
Ethiopia Guji Shakisso Natural Lot 24;Kakalove Cafe;Medium-Light;Taiwan;Ethiopia;3,68;94;August 2019;Cleanly fruit-toned, deeply rich. Dried raspberry, toffee, molasses, cedar, narcissus-like flowers in aroma and cup. Sweet-toned structure with brisk acidity;
House Blend;Metropolis Coffee;Medium;United States;Colombia;3,69;91;September 2021;Richly chocolaty, floral-toned. Dark chocolate, magnolia, almond, caramel, cedar in aroma and cup. Sweet structure with mild acidity;
Breakfast Blend;Metropolis Coffee;Medium-Light;United States;Colombia;3,69;90;September 2021;Crisply cocoa-toned. Baking chocolate, almond nougat, carnation, golden raisin, cedar in aroma and cup. Sweet-toned with brisk acidity;
Ethiopia Sidama;Reunion Island Coffee;Medium;Canada;Ethiopia;3,76;94;November 2017;Balanced, sweet-savory. Red currant, roasted cacao nib, clove, blood orange zest, frankincense in aroma and cup. Savory-sweet structure with lively acidity;
Finca San Carlos;El Gran Café;Medium-Light;Guatemala;Guatemala;3,82;94;October 2020;Richly sweet, nuanced, multi-layered. Apricot, star jasmine, cocoa nib, cashew, oak in aroma and cup. Sweet-savory structure with delicate acidity;
Organic Red Honey Ramirez Estate Microlot;Cafe Kreyol;Medium;United States;Dominican Republic;3,82;92;November 2020;Crisp, gently fruit-toned. Raspberry jam, baking chocolate, magnolia, almond, cedar in aroma and cup. Sweet structure with round acidity;
Dominican Republic Organic Ramirez Estate;Cafe Kreyol;Medium-Light;United States;Dominican Republic;3,82;90;August 2021;Delicate, sweet, quietly nuanced. Clover, oak, cocoa powder, macadamia nut, agave syrup in aroma and cup. Sweet-toned with a quietly present, backgrounded acidity;
Organic 18 Rabbits Honduras;Cafe Kreyol;Medium-Light;United States;Honduras;3,82;91;November 2021;Quietly nuanced, nut-forward. Hazelnut, caramel, grapefruit, fresh-cut fir, a hint of gardenia in aroma and cup. Sweetly brisk structure;
Finca Huixoc Maracaturra;El Gran Cafe;Medium-Light;Guatemala;Guatemala;3,82;90;December 2021;Richly bittersweet, complex. Dark chocolate, sassafras, honey, pear, cashew in aroma and cup. Bittersweet structure with pert acidity;
Las Moritas Yellow Caturra;El Gran Cafe;Light;Guatemala;Guatemala;3,82;87;December 2021;Gently fruit-toned, wood-framed. Prune, balsa wood, hazelnut, orange zest, a hint of freesia in aroma and cup. Sweet-savory structure with gently bittersweet acidity;
Finca San Carlos;El Gran Cafe;Light;Guatemala;Guatemala;3,82;88;December 2021;Crisply sweet-savory. Pecan, pie cherry, brown sugar, oak, a hint of gardenia in aroma and cup. Bittersweet structure with brisk acidity;
Sumatra Dark;Starbucks Coffee;Dark;United States;Indonesia;3,82;90;April 2022;Earthy, bittersweet. Fresh-cut oak, cocoa powder, fresh leather, sweet pea, lily in aroma and cup. Bittersweet structure with barely perceptible acidity;
Ethiopia Washed Yirgacheffe Adado;Kakalove Cafe;Medium-Light;Taiwan;Ethiopia;3,89;95;November 2017;Elegant, deep, sweetly savory. Jasmine, sandalwood, plum, nutella-like nut and cocoa, tangerine zest in aroma and cup. High-toned, balanced structure with citrusy acidity;
Ethiopia Kochere Debo Washed Gellana;Kakalove Cafe;Medium-Light;Taiwan;Ethiopia;3,89;94;September 2018;Delicately rich, crisply sweet. Star jasmine, lemon zest, peach, sandalwood, almond in aroma and cup. Roundly and sweetly tart in structure;
Guatemala Finca El General Lot ALT8 Espresso;Kakalove Cafe;Medium-Light;Taiwan;Guatemala;3,89;94;September 2018;Evaluated as espresso. Chocolaty, floral-toned. Plumeria, baker’s chocolate, tangerine zest, fresh-cut cedar, tamarind in aroma and small cup. Crisp, syrupy mouthfeel;
Ethiopia Washed Yirgacheffe Nafasha Lot;Kakalove Cafe;Medium-Light;Taiwan;Ethiopia;3,89;94;August 2019;Crisp, citrusy, deeply sweet. Lemon verbena, cacao nib, agave syrup, cedar, freesia-like flowers in aroma and cup. Sweet-tart structure with high-toned, lively acidity;
Ethiopia Natural Guji Lot D Minor;Kakalove Cafe;Medium-Light;Taiwan;Ethiopia;3,89;95;July 2020;Delicate, high-toned, richly floral. Lilac, cocoa nib, dried apricot, sandalwood, a hint of coconut in aroma and cup. Sweet-tart structure with juicy acidity;
Ethiopia Natural Guji Kercha Lot Riverside;Kakalove Cafe;Medium-Light;Taiwan;Ethiopia;3,89;94;October 2020;Delicate, sweetly fruit-toned, complex. Dried persimmon, nougat, lilac, dark chocolate, a hint of spearmint in aroma and cup. Sweetly tart structure with wine-like acidity;
Ethiopia Yirgacheffe Washed Banko Gotiti 3;Kakalove Cafe;Medium-Light;Taiwan;Ethiopia;3,89;94;October 2021;Intricately layered, deeply sweet. Wisteria, cocoa nib, nectarine, amber, cashew in aroma and cup. Bright, juicy acidity;
Ethiopia Natural Guji Morel Floral Kudume;Bargain Cafe;Light;Taiwan;Ethiopia;3,89;92;October 2022;Crisp, cocoa-toned, gently floral. Baking chocolate, orange zest, date, hint of narcissus, fir in aroma and cup. Sweet-tart structure with high-toned acidity;
Ethiopia Guji Deri Korcha White Honey;Kakalove Cafe;Light;Taiwan;Ethiopia;3,92;93;March 2018;Sweetly pungent, high-toned. Dried apple, orange blossom, toffee, cedar, dark chocolate in aroma and cup. Sweetly tart structure, with juicy acidity;
Belquis Ramirez Lemus Colombia Coffee for Peace;True Coffee Roasters;Medium-Light;United States;Colombia;3,96;92;March 2021;Balanced, bright. Cocoa nib, orange zest, almond brittle, plum, cedar in aroma and cup. Sweet-toned with juicy, high-toned acidity;
Asprole Blend #1 Colombia Coffee for Peace;True Coffee Roasters;Medium-Light;United States;Colombia;3,96;92;March 2021;Crisply sweet, chocolaty. Baking chocolate, apricot, lemon verbena, fresh-cut fir, nougat in aroma and cup. Sweet in structure with brisk acidity;
Ethiopia Natural Yirgacheffe Adado Feysa Dira;Kakalove Cafe;Medium-Light;Taiwan;Ethiopia;3,96;94;October 2021;Richly sweet-tart, fruit-forward. Dried strawberry, dark chocolate, almond brittle, lemon thyme, cedar in aroma and cup. Brightly sweet with juicy acidity;
Kenya Auction Lot;Peet's Coffee;Medium-Dark;United States;Kenya;3,96;92;April 2022;Crisply sweet-savory. Dark chocolate, charred mesquite, gardenia, dried persimmon, dark caramel in aroma and cup. Bittersweet structure with barely perceptible acidity;
Ethiopia Gelgelu Natural Organic;Willoughby's Coffee & Tea;Medium-Light;United States;Ethiopia;3,97;93;November 2017;High-toned, floral. Dried apricot, magnolia, almond butter, maple syrup, cherry brandy in aroma and cup. Crisp, sweetly-tart in structure;
Ethiopia;Caffeic;Medium-Light;United States;Ethiopia;3,97;93;October 2018;Crisply sweet, fruit-toned. Raspberry, roasted cacao nib, honey, fresh-cut fir, freesia-like flowers in aroma and cup. Richly sweet-tart in structure with vibrant acidity;
Costa Rica Tarrazu Hacienda La Pradera;Jampot Poorrock Abbey;Medium;United States;Costa Rica;3,97;91;March 2020;Crisply sweet, balanced. Apricot, cocoa nib, freesia-like flowers, brown sugar, oak in aroma and cup. Sweetly tart structure with pert, lively acidity;
Elida Estate Geisha Natural Dragonfly Reserve;Dragonfly Coffee Roasters;Medium-Light;United States;Panama;30,86;95;November 2018;Delicate, vibrant, richly tart. Passionfruit, roasted cacao nib, sandalwood, star jasmine, bergamot zest in aroma and cup. Sweet-tart in structure with juicy, bright acidity;
Kenya FSC AB;Black Coffee In Black Jar;Medium;Taiwan;Kenya;32;94;December 2019;Richly sweet, deeply chocolaty. Chocolate fudge, red currant, wisteria, cedar, agave syrup in aroma and cup. Crisp, sweetly tart structure with vibrant, juicy acidity;
Colombia Pink Bourbon;Black Coffee In Black Jar;Medium-Light;Taiwan;Colombia;32;92;December 2019;Crisply sweet, delicately tart. Pomegranate, grapefruit zest, magnolia, elm, maple syrup in aroma and cup. Sweet-tart structure with brisk acidity;
Guatemala Acatenango Geisha;Black Coffee In Black Jar;Medium-Light;Taiwan;Guatemala;32;92;December 2019;Delicately sweet, floral toned. Narcissus, plum, cedar, cocoa nib, almond in aroma and cup. Deeply sweet in structure with gentle, rounded acidity;
El Salvador Pacamara Honey;Black Coffee In Black Jar;Medium;Taiwan;El Salvador;32;90;December 2019;Sweetly wood-framed, spice-toned. Fresh-cut fir, date, baking chocolate, freesia, black peppercorn in aroma and cup. Sweet structure with low-toned acidity;
Panama Elida Green Tip Gesha Natural;Equator Coffees & Teas;Medium-Light;United States;Panama;32,63;94;December 2017;Spice-toned, richly sweet. Raspberry, dark chocolate, hazelnut, gardenia, bergamot in aroma and cup. Sweet, fruit-forward structure;
100% Kona SL-28;Hula Daddy Kona Coffee;Medium-Light;Hawai'i;Hawai'I;33,05;97;November 2017;Spectacularly sweet and hugely aromatic. Meyer lemon marmalade, cedar, pistachio, guava, jasmine in aroma and cup. Crisply sweet/tart and massively juicy in structure;
Kona Mocca®;Hula Daddy Kona Coffee;Medium-Light;Hawai'i;Hawai'I;33,05;96;November 2020;Chocolaty, richly sweet-tart, deep-toned. Chocolate fudge, passion fruit, sandalwood, lily, a hint of Cognac in aroma and cup. Sweetly and opulently tart with generous, bright acidity;
Lycello by Ninety Plus;Dragonfly Coffee Roasters;Medium-Light;United States;Panama;33,07;95;April 2018;Sweetly spice-toned, deeply rich. Bergamot, almond, fresh parsley, gardenia, oak in aroma and cup. Crisply sweet, softly tart in structure;
Esmeralda Estate Porton Geisha Natural;Dragonfly Coffee Roasters;Medium-Light;United States;Panama;33,07;96;October 2018;Rich-toned, cleanly fruit-forward, intricately balanced. Concord grape, pungent myrrh, roasted cacao nib, honeysuckle, candy cap mushroom in aroma and cup. Deeply sweet-tart structure with bright, juicy acidity;
Hacienda La Esmeralda Cabana Geisha Natural;Dragonfly Coffee Roasters;Medium-Light;United States;Panama;33,07;95;October 2018;Rich, resonant, high-toned. Lychee, lilac, chocolate fudge, frankinense, tamarind in aroma and cup. Sweet-tart structure with juicy, bright acidity;
Panama Abu Natural ASD Geisha BOP GN11;Kakalove Cafe;Medium-Light;Taiwan;Panama;33,98;96;November 2020;Provocative in structure, richly sweet-savory, tangy. Pineapple kefir, vanilla, cocoa nib, aromatic orchid, fresh-cut fir in aroma and cup. Sweet-savory structure with high-toned acidity;
Colombia La Palma Y El Tucán Gesha Natural;Equator Coffees;Medium-Light;United States;Colombia;35,27;94;November 2021;Dried mulberry, lemon verbena, apple blossom, cocoa nib, wild honey in aroma and cup. Sweet, high-toned structure with fruity acidity;
Colombia Finca El Paraiso Geisha Letty;Paradise Roasters;Light;United States;Colombia;35,27;97;February 2022;Ultra-high-toned, fruit-driven, richly floral. Wisteria, dried nectarine, pistachio brittle, calamansi lime, tarragon in aroma and cup. Deeply sweet structure with resoundingly bright, lively acidity;
Uluwehi Farm Kona SL34 Yeast-Fermentation Washed Peaberry;Paradise Roasters;Medium-Light;United States;Hawai'I;35,27;94;February 2022;Richly sweet, deeply layered. Lychee, tangerine zest, mesquite, star jasmine, agave syrup in aroma and cup. Sweet-tart structure with vibrantly bright acidity;
Colombia Sudan Rume;Nostalgia Coffee Roasters;Light;United States;Colombia;35,27;95;September 2022;Multi-faceted, enticingly sweet-savory. Lychee, cardamom, cocoa nib, fennel, star jasmine in aroma and cup. Savory-sweet structure with vibrantly juicy acidity;
Monarch Estate Pacamara;Monarch Coffee;Medium-Light;Hawai'i;Hawai'I;36,11;94;February 2022;Richly sweet-savory, complex, layered. Dark chocolate, lilac, candycap mushroom, cedar, black cherry in aroma and cup. Sweetly tart structure with bright, juicy acidity;
Finca La Maria Geisha Natural;Blues Brew Coffee;Light;Taiwan;Colombia;36,81;94;February 2021;Deeply pungent, sweetly savory. Dark chocolate, narcissus, black cherry, cardamom, cashew in aroma and cup. Sweet-savory structure with roundly tart acidity;
Monarch Gesha;Equator Coffees;Medium-Light;United States;Hawai'I;37,04;94;may-19;Floral and sweetly herbaceous with richly framed depth. Jasmine, spearmint, chocolate, watermelon, fine musk in aroma and cup. Deeply sweet structure with vibrant, juicy acidity;
Monarch Estate Hawaiian Gesha;Monarch Coffee;Medium-Light;Hawai'i;Hawai'I;37,04;92;February 2022;Crisply sweet-tart, cocoa-toned. Cocoa nib, pomegranate, freesia, almond butter, orange zest in aroma and cup. Sweet-tart structure with brisk acidity;
Gesha Village Natural Lot #19;GK Coffee;Medium-Light;Taiwan;Ethiopia;38,4;94;September 2019;Rich, complex, very deeply sweet. Honey, lilac, guava, frankincense, cacao nib in aroma and cup. Richly sweet-tart structure with high-toned, juicy acidity;
Kona Mocca®;Hula Daddy Kona Coffee;Medium-Light;Hawai'i;Hawai'I;38,58;96;April 2021;Lyrically sweet, luxuriously chocolaty. Chocolate fudge, tamarind, sandalwood, narcissus, a hint of wine barrel in aroma and cup. Sweetly tart structure with vibrant, juicy acidity;
Panama Cantar Dorado Ruisenor;Hidden Coffee HK;Light;Hong Kong;Panama;39;93;September 2021;Richly sweet, elegantly tart. Wisteria, pomegranate, fresh-cut fir, marjoram, orange zest in aroma and cup. Sweet structure with balanced acidity;
Kona Mocca®;Hula Daddy Kona Coffee;Medium-Light;Hawai'i;Hawai'I;39,66;95;November 2021;Exuberantly sweet-toned, richly floral. Dark chocolate, narcissus, sandalwood, blood orange zest, cedar in aroma and cup. Sweet-toned structure with bright, fruity acidity;
Yemen Lot 106;Port of Mokha;;United States;Yemen;39,68;96;October 2021;Deep yet soaring, vertically complex. Dried black currant, dark chocolate, sandalwood, ginger blossom, tangerine zest in aroma and cup. Richly sweet-savory with deep, vibrant acidity;
Brazil Ipanema Golden Edition C26 Lychee;GK Coffee;;Taiwan;Brazil;4;94;July 2021;A ready-to-drink black coffee, tested cold. Dried guava, dark chocolate, frangipane, vanilla, cedar. Sweet-tart structure with crisp, juicy acidity;
Finca La Montana Costa Rica;Press House Coffee;Medium;United States;Costa Rica;4,03;92;January 2020;Cocoa- and fruit-driven. Dark chocolate, dried apricot, gently scorched oak, lime zest, gardenia in aroma and cup. Sweet in structure with gentle, round acidity;
Ethiopia Yirgacheffe Heyilu Butiya;Coffee By Design;Medium-Light;United States;Ethiopia;4,08;93;April 2021;Richly sweet, deeply berry-toned. Dried blueberry, rhododendron, lime zest, dark chocolate, cedar in aroma and cup. Sweet-toned structure with gentle, round acidity;
Kenya Kiambu Kiriga AA;Coffee By Design;Medium-Light;United States;Kenya;4,08;93;April 2021;Vibrant, sweet-savory, floral-toned. Cocoa nib, red currant, myrrh, honeysuckle, hop flowers in aroma and cup. Sweetly savory structure with juicy acidity;
Kenya Nyeri Kiandu AA;Coffee by Design;Medium-Light;United States;Kenya;4,08;92;September 2021;Crisply sweet-savory. Dark chocolate, lavender, date, agave syrup, lemon zest in aroma and cup. Richly bittersweet structure with velvety-smooth mouthfeel;
Ethiopia Sidama Durato Bombe;Coffee By Design;Medium-Light;United States;Ethiopia;4,08;91;November 2021;Aromatic, wood-framed, berry-toned. Berry melange, fresh-cut cedar, agave syrup, lily, grapefruit zest in aroma and cup. Sweet structure with gentle, round acidity;
Colombia Los Pinos Robeiro Sarmiento;Coffee By Design;Medium-Light;United States;Colombia;4,08;92;August 2022;Chocolaty, deep-toned. Baking chocolate, date, cedar, narcissus, almond in aroma and cup. Sweet structure with brisk acidity;
Static Peru Valle de Chingama Peru;Espresso Republic;Medium-Light;United States;Peru;4,1;92;August 2018;Deeply pungent and richly sweet. Lavender, baker’s chocolate, oak, ripe fig, a hint of ginger in aroma and cup. Roundly sweet-tart and juicy in structure;
Static Chirinos Peru;Espresso Republic;Medium-Light;United States;Peru;4,1;90;August 2018;Richly low-toned, gently zesty. Cedar, baker’s chocolate, grapefruit zest, apple, a hint of magnolia-like flowers in aroma and cup. Sweetly and quietly tart in structure, with a brisk edge. Plump mouthfeel. Flavor consolidates in a sweet, though rather drying, finish.;
FTO Ethiopian;Mystic Monk Coffee;Medium-Light;United States;Ethiopia;4,1;92;October 2021;Deep-toned, sweet, chocolaty. Baking chocolate, golden raisin, molasses, baking spices, fresh-cut cedar in aroma and cup. Sweet structure with gentle, round acidity;
Ethiopia Yirgacheffe;Mystic Monk Coffee;Medium;United States;Ethiopia;4,11;90;February 2018;Richly sweet, chocolate-toned. Molasses, baker’s chocolate, lily, cedar, black peppercorn in aroma and cup. Bittersweet structure with round, gentle acidity;
Ethiopia Kochere Washed Saona Lot;Kakalove Cafe;Medium-Light;Taiwan;Ethiopia;4,11;95;December 2018;High-toned, richly sweet-tart. Apricot, wild honey, sandalwood, roasted cacao nib, lilac in aroma and cup. Sweetly tart structure with vibrant, juicy acidity;
Ethiopia Yirgacheffe;Mystic Monk Coffee;Medium;United States;Ethiopia;4,11;91;February 2019;Richly spice-toned, chocolaty. Dark chocolate, peppercorn medley, dried persimmon, gardenia, singed oak in aroma and cup. Sweet-toned structure with mild acidity;
Ethiopia Sidamo;Larry's Coffee;Medium;United States;Ethiopia;4,11;92;February 2020;Richly sweet, roast-rounded. Dark chocolate, gardenia, gently scorched cedar, red plum, hazelnut in aroma and cup. Sweet structure with little discernible acidity;
Ethiopia Sidamo;Joe Van Gogh;Medium-Light;United States;Ethiopia;4,11;90;February 2020;Cleanly fruit-toned, aromatic wood-framed. Strawberry, sandalwood, almond butter, freesia-like flowers, maple syrup in aroma and cup. Sweet-tart structure with crisp, fruity acidity;
Ethiopia Guji Bishala;Kakalove Cafe;Medium-Light;Taiwan;Ethiopia;4,11;94;August 2020;Delicately sweet-tart, floral-toned. Narcissus, apricot, cocoa nib, lemon verbena, frankincense in aroma and cup. Sweet-tart structure with delicately juicy acidity;
Ethiopia Washed Sidama Nafasha 74158 21/01;Kakalove Cafe;Medium-Light;Taiwan;Ethiopia;4,11;96;June 2021;Lyrically sweet, intriguing tart, complexly savory. Mulberry, sage, bergamot, frankincense, apple blossom in aroma and cup. High-toned structure with delicately bright, multi-layered acidity;
Ethiopia;Caffeic;Medium-Light;United States;Ethiopia;4,12;93;March 2018;Richly sweet, spice-toned. Dried cherry, lemon zest, baker’s chocolate, cashew, a hint of cayenne in aroma and cup. Delicate, sweetly tart structure with bright acidity;
Ethiopia Yirgacheffe Kochere Debo;Jackrabbit Java;Medium-Light;United States;Ethiopia;4,12;94;August 2020;Bright, juicy, floral-toned. Narcissus, red plum, cocoa nib, bay leaf, maple syrup in aroma and cup. Gently tart structure with deep, juicy acidity;
Ethiopia Guji Natural Water-Processed Decaf;Jackrabbit Java;Medium-Light;United States;Ethiopia;4,12;90;August 2020;Sweetly nut- and cocoa-toned. Cashew butter, cocoa powder, magnolia, date, oak in aroma and cup. Sweet structure with gentle acidity;
